asset_id,request_id,status,source_file,runtime_file,sha256,creator,tool_model,created_at,license,source_url,attribution_required,attribution_text,approved_by,approved_at,integrated_at,replaces_asset_id,notes
VIS-ENV-001-church_library-v003,VIS-ENV-001,received,visual/environments/VIS-ENV-001_church_library_v003.png,,0c25d671e9c65ae93be3082e9990818c367c79b86d949d8a2745bba7b189f1f7,Mavis,procedural-environment-v003 (Python Pillow 11.3.0 + numpy 2.3.5),2026-08-07,owned,none,false,,,,,VIS-ENV-001-church_library-v002,1920x1080 RGB scene; 12830 bytes
VIS-ENV-001-gigas_clearing-v003,VIS-ENV-001,received,visual/environments/VIS-ENV-001_gigas_clearing_v003.png,,7ff9263a283dcd86013d0c2544bc9cca8c8e5573fefb00671f611042383be9d6,Mavis,procedural-environment-v003 (Python Pillow 11.3.0 + numpy 2.3.5),2026-08-07,owned,none,false,,,,,VIS-ENV-001-gigas_clearing-v002,1920x1080 RGB scene; 13074 bytes
VIS-ENV-001-home_hearth-v003,VIS-ENV-001,received,visual/environments/VIS-ENV-001_home_hearth_v003.png,,76bcc1bbdb9dd044c5db9704714d721863df74515b5b84d26288ae9749e46563,Mavis,procedural-environment-v003 (Python Pillow 11.3.0 + numpy 2.3.5),2026-08-07,owned,none,false,,,,,VIS-ENV-001-home_hearth-v002,1920x1080 RGB scene; 10662 bytes
VIS-ENV-001-north_gate-v003,VIS-ENV-001,received,visual/environments/VIS-ENV-001_north_gate_v003.png,,615b4956555fc6d107195394652241c7a1501b1a6b87b2c1bec63f135c4fb282,Mavis,procedural-environment-v003 (Python Pillow 11.3.0 + numpy 2.3.5),2026-08-07,owned,none,false,,,,,VIS-ENV-001-north_gate-v002,1920x1080 RGB scene; 10032 bytes
VIS-ENV-001-forest_path-v003,VIS-ENV-001,received,visual/environments/VIS-ENV-001_forest_path_v003.png,,4d08658ee4bc0b5a996dff8a9e1a2dc368af033f4087d57dab5ec09f881e2850,Mavis,procedural-environment-v003 (Python Pillow 11.3.0 + numpy 2.3.5),2026-08-07,owned,none,false,,,,,VIS-ENV-001-forest_path-v002,1920x1080 RGB scene; 16161 bytes
VIS-ENV-001-end_mountains_cave-v003,VIS-ENV-001,received,visual/environments/VIS-ENV-001_end_mountains_cave_v003.png,,7fbf2b4140826e2c5943768bfef2b365b785234878fc36d46e86698ca9631cdd,Mavis,procedural-environment-v003 (Python Pillow 11.3.0 + numpy 2.3.5),2026-08-07,owned,none,false,,,,,VIS-ENV-001-end_mountains_cave-v002,1920x1080 RGB scene; 11968 bytes
VIS-ENV-001-scenes-json-v003,VIS-ENV-001,received,visual/environments/VIS-ENV-001_scenes_v003.json,,0feff9414be9b908fbaae1c739192586939ea1b17a15d7adb1337330c0551e9e,Mavis,procedural-environment-v003 (Python Pillow 11.3.0 + numpy 2.3.5),2026-08-07,owned,none,false,,,,,VIS-ENV-001-scenes-json-v002,metadata JSON; 2666 bytes
