asset_id,request_id,status,source_file,runtime_file,sha256,creator,tool_model,created_at,license,source_url,attribution_required,attribution_text,approved_by,approved_at,integrated_at,replaces_asset_id,notes
AUD-AMB-002_forest_silence_normal_v004-wav,AUD-AMB-002,received,inbox/audio/ambience/AUD-AMB-002_forest_silence_normal_v004_48k24b.wav,,eab9c899eaad1297fd51a03fc71e28ac8c48ba1e1a77975a7d6ca98f32739c31,Mavis/project,"procedural-audio-v004 (ffmpeg/libvorbis, loudnorm, ebur128)",2026-08-07,owned,none,false,,,,,AUD-AMB-002_forest_silence_normal_v003.wav,"v004 export from v003 normalized source; I=-23.0 LUFS, peak=-5.8 dBFS, dur=76.0s, loop=0-3648000"
AUD-AMB-002_forest_silence_normal_v004-ogg,AUD-AMB-002,received,inbox/audio/ambience/AUD-AMB-002_forest_silence_normal_v004.ogg,,7d2c3aedb9d60bfccc038a01abfa6fd91f1ad3e16c9318d0b9a5bcfd2e0270a1,Mavis/project,"procedural-audio-v004 (ffmpeg/libvorbis, loudnorm, ebur128)",2026-08-07,owned,none,false,,,,,AUD-AMB-002_forest_silence_normal_v003.ogg,"v004 export from v003 normalized source; I=-23.0 LUFS, peak=-5.8 dBFS, dur=76.0s, loop=0-3648000"
AUD-AMB-002_forest_silence_silent_v004-wav,AUD-AMB-002,received,inbox/audio/ambience/AUD-AMB-002_forest_silence_silent_v004_48k24b.wav,,79a50e099006626aa197aaef96f7fdcb9550217eee5539cbab50ce288a932179,Mavis/project,"procedural-audio-v004 (ffmpeg/libvorbis, loudnorm, ebur128)",2026-08-07,owned,none,false,,,,,AUD-AMB-002_forest_silence_silent_v003.wav,"v004 export from v003 normalized source; I=-22.9 LUFS, peak=-10.9 dBFS, dur=76.0s, loop=0-3648000"
AUD-AMB-002_forest_silence_silent_v004-ogg,AUD-AMB-002,received,inbox/audio/ambience/AUD-AMB-002_forest_silence_silent_v004.ogg,,6bdb651e82915cfc4f5fdcce4ac43947331e9e34d7aa8f43c928bcb323da1193,Mavis/project,"procedural-audio-v004 (ffmpeg/libvorbis, loudnorm, ebur128)",2026-08-07,owned,none,false,,,,,AUD-AMB-002_forest_silence_silent_v003.ogg,"v004 export from v003 normalized source; I=-22.9 LUFS, peak=-10.9 dBFS, dur=76.0s, loop=0-3648000"
