request_id,asset_type,character,direction,version,filename,width,height,mode,anchor_x,anchor_y,frame_count,frame_layout,status,runtime,sha256
VIS-CHR-001,character_sprite,kirito,down,v010,VIS-CHR-001_sprite_sheet_v010_down_sample.png,768,96,RGBA,32,94,12,"idle_0,idle_1,walk_0,walk_1,walk_2,walk_3,walk_4,walk_5,interact_0,interact_1,interact_2,interact_3",sample_candidate,false,13bb0a582cfc75051c9b3698959d5a30c1ae05e69e434a1f1475edfe0fbf972a
VIS-CHR-002,character_sprite,alice,down,v010,VIS-CHR-002_sprite_sheet_v010_down_sample.png,768,96,RGBA,32,94,12,"idle_0,idle_1,walk_0,walk_1,walk_2,walk_3,walk_4,walk_5,interact_0,interact_1,interact_2,interact_3",sample_candidate,false,af6b4a12066827a89dfde9fb8be3c67acf52cca76b5371b0287dd23a71129cea
VIS-CHR-003,character_sprite,eugeo,down,v010,VIS-CHR-003_sprite_sheet_v010_down_sample.png,768,96,RGBA,32,94,12,"idle_0,idle_1,walk_0,walk_1,walk_2,walk_3,walk_4,walk_5,interact_0,interact_1,interact_2,interact_3",sample_candidate,false,eafe04088b29a4a85c3df9cc23445c4c9b718bdd5059d341f33ed59c0abfa36d
