asset_id,request_id,status,source_file,runtime_file,sha256,creator,tool_model,created_at,license,source_url,attribution_required,attribution_text,approved_by,approved_at,integrated_at,replaces_asset_id,notes
VIS-CHR-002-sprite-sheet-v003,VIS-CHR-002,received,visual/characters/VIS-CHR-002_alice_sprite_sheet_v003.png,,b897c4995ece469441c5e7976941d2cd777770f7730f1593694e2fc54bfc02d0,Mavis,procedural-character-v003 (Python Pillow 11.3.0 + numpy 2.3.5),2026-08-07,owned,none,false,,,,,VIS-CHR-002-sprite-sheet-v002,768x384 RGBA sprite sheet (4 directions x 12 frames); non-interlaced 8-bit alpha; 5538 bytes
VIS-CHR-002-frames-json-v003,VIS-CHR-002,received,visual/characters/VIS-CHR-002_frames_v003.json,,6626fe96d93f657eb91dfa991dd630d22348d5f8cb329478b7681049a2611387,Mavis,procedural-character-v003 (Python Pillow 11.3.0 + numpy 2.3.5),2026-08-07,owned,none,false,,,,,,"Frame manifest: rect, animation, index, duration_ms, fps, anchor, footprint"
