asset_id,request_id,status,source_file,runtime_file,sha256,creator,tool_model,created_at,license,source_url,attribution_required,attribution_text,approved_by,approved_at,integrated_at,replaces_asset_id,notes
VIS-CHR-001-v006-v006,VIS-CHR-001,received,inbox/visual/characters/VIS-CHR-001_kirito_sprite_sheet_v006.png,,9f2cf271676022ed660dcd6bd1882e74858c6c6fa6741556c46f93e618300461,Mavis/project,procedural-sprite-v006 (Pillow painterly cells),2026-08-07,owned,none,false,,,,,VIS-CHR-001-sprite-sheet-ai-v005,v006 complete 48-frame RGBA sprite package; received only
VIS-CHR-001-v006-v006,VIS-CHR-001,received,inbox/visual/characters/VIS-CHR-001_frames_v006.json,,a01d124520895e8c03066011ccb9563c3919fc1d9cd62244e0c0424135a5ce7d,Mavis/project,procedural-sprite-v006 (Pillow painterly cells),2026-08-07,owned,none,false,,,,,VIS-CHR-001-sprite-sheet-ai-v005,v006 complete 48-frame RGBA sprite package; received only
