asset_id,request_id,status,source_file,runtime_file,sha256,creator,tool_model,created_at,license,source_url,attribution_required,attribution_text,approved_by,approved_at,integrated_at,replaces_asset_id,notes
AUD-BGM-002_boundary_investigation_a_v004-wav,AUD-BGM-002,received,inbox/audio/bgm/AUD-BGM-002_boundary_investigation_a_v004_48k24b.wav,,0635461f74d1c77217eeaad9c8a93ea7efc4b7343bdcb9f2dbb44c04288a8f65,Mavis/project,"procedural-audio-v004 (ffmpeg/libvorbis, loudnorm, ebur128)",2026-08-07,owned,none,false,,,,,AUD-BGM-002_boundary_investigation_a_v003.wav,"v004 export from v003 normalized source; I=-18.7 LUFS, peak=-1.7 dBFS, dur=91.0s, loop=0-4368000"
AUD-BGM-002_boundary_investigation_a_v004-ogg,AUD-BGM-002,received,inbox/audio/bgm/AUD-BGM-002_boundary_investigation_a_v004.ogg,,8138f372b22b19faf2a7088d5988a801854fc40d4e436e3d607f8913a783fe8c,Mavis/project,"procedural-audio-v004 (ffmpeg/libvorbis, loudnorm, ebur128)",2026-08-07,owned,none,false,,,,,AUD-BGM-002_boundary_investigation_a_v003.ogg,"v004 export from v003 normalized source; I=-18.7 LUFS, peak=-1.7 dBFS, dur=91.0s, loop=0-4368000"
AUD-BGM-002_boundary_investigation_b_v004-wav,AUD-BGM-002,received,inbox/audio/bgm/AUD-BGM-002_boundary_investigation_b_v004_48k24b.wav,,4583bcf394bb35f51f4e1325fc5747b96826176935dbc341228cd26eba4fbdd7,Mavis/project,"procedural-audio-v004 (ffmpeg/libvorbis, loudnorm, ebur128)",2026-08-07,owned,none,false,,,,,AUD-BGM-002_boundary_investigation_b_v003.wav,"v004 export from v003 normalized source; I=-18.3 LUFS, peak=-1.6 dBFS, dur=84.0s, loop=0-4032000"
AUD-BGM-002_boundary_investigation_b_v004-ogg,AUD-BGM-002,received,inbox/audio/bgm/AUD-BGM-002_boundary_investigation_b_v004.ogg,,0027648bc414507ac9727af1af1ede011a845e9cf2976bda86bfe6fc870edb53,Mavis/project,"procedural-audio-v004 (ffmpeg/libvorbis, loudnorm, ebur128)",2026-08-07,owned,none,false,,,,,AUD-BGM-002_boundary_investigation_b_v003.ogg,"v004 export from v003 normalized source; I=-18.3 LUFS, peak=-1.6 dBFS, dur=84.0s, loop=0-4032000"
