asset_id,request_id,status,source_file,runtime_file,sha256,creator,tool_model,created_at,license,source_url,attribution_required,attribution_text,approved_by,approved_at,integrated_at,replaces_asset_id,notes
AUD-BGM-003_relationship_daily_a_v004-wav,AUD-BGM-003,received,inbox/audio/bgm/AUD-BGM-003_relationship_daily_a_v004_48k24b.wav,,994a571003a934006dab8983cbf3f7896abd4a7a97c0f5c0fc5db66f5c12d244,Mavis/project,"procedural-audio-v004 (ffmpeg/libvorbis, loudnorm, ebur128)",2026-08-07,owned,none,false,,,,,AUD-BGM-003_relationship_daily_a_v003.wav,"v004 export from v003 normalized source; I=-18.7 LUFS, peak=-1.6 dBFS, dur=76.0s, loop=0-3648000"
AUD-BGM-003_relationship_daily_a_v004-ogg,AUD-BGM-003,received,inbox/audio/bgm/AUD-BGM-003_relationship_daily_a_v004.ogg,,649f752f0fd94b5575104335ff62273b09ce32329d4cc0e7ea3a7c0f0addc895,Mavis/project,"procedural-audio-v004 (ffmpeg/libvorbis, loudnorm, ebur128)",2026-08-07,owned,none,false,,,,,AUD-BGM-003_relationship_daily_a_v003.ogg,"v004 export from v003 normalized source; I=-18.7 LUFS, peak=-1.6 dBFS, dur=76.0s, loop=0-3648000"
AUD-BGM-003_relationship_daily_b_v004-wav,AUD-BGM-003,received,inbox/audio/bgm/AUD-BGM-003_relationship_daily_b_v004_48k24b.wav,,9020ab6b36a90ccab263d4e47a36f5715a8c80c3eb136bb041910428172fb27e,Mavis/project,"procedural-audio-v004 (ffmpeg/libvorbis, loudnorm, ebur128)",2026-08-07,owned,none,false,,,,,AUD-BGM-003_relationship_daily_b_v003.wav,"v004 export from v003 normalized source; I=-18.8 LUFS, peak=-1.8 dBFS, dur=66.0s, loop=0-3168000"
AUD-BGM-003_relationship_daily_b_v004-ogg,AUD-BGM-003,received,inbox/audio/bgm/AUD-BGM-003_relationship_daily_b_v004.ogg,,8399740c2bcfe369ed084f0170cabb472627ba9b25719740272e75ea1221df40,Mavis/project,"procedural-audio-v004 (ffmpeg/libvorbis, loudnorm, ebur128)",2026-08-07,owned,none,false,,,,,AUD-BGM-003_relationship_daily_b_v003.ogg,"v004 export from v003 normalized source; I=-18.8 LUFS, peak=-1.8 dBFS, dur=66.0s, loop=0-3168000"
